order_id,product_name,category,order_date,revenue,region
1,Chicken,Meat,05-12-2023,443.1770763,West
2,Eggs,Dairy,30-09-2023,263.9801079,Central
3,Vegetables,Meat,03-03-2023,57.0654034,South
4,Fruits,Dairy,01-02-2023,137.527289,East
5,Eggs,Bakery,20-07-2023,290.176776,South
6,Rice,Produce,13-01-2023,455.9598391,Central
7,Fruits,Produce,05-02-2023,368.2827965,Central
8,Milk,Grains,26-07-2023,8.62648473,West
9,Chicken,Meat,29-03-2023,302.1298104,South
10,Fruits,Meat,24-09-2023,176.0870106,North
11,Milk,Produce,12-05-2023,257.3110182,Central
12,Rice,Bakery,11-11-2023,449.743614,North
13,Chicken,Dairy,19-11-2023,477.7091668,North
14,Chicken,Produce,28-03-2023,284.7682488,South
15,Eggs,Grains,05-11-2023,388.4621025,West
16,Bread,Grains,28-10-2023,215.4943558,North
17,Milk,Dairy,05-02-2023,140.2113423,North
18,Milk,Produce,11-07-2023,166.6749701,East
19,Vegetables,Bakery,22-12-2023,88.32785051,Central
20,Eggs,Bakery,12-05-2023,393.4390884,North
21,Vegetables,Produce,03-08-2023,343.7965456,North
22,Chicken,Dairy,24-01-2023,173.2612211,South
23,Milk,Meat,30-03-2023,136.8622596,North
24,Chicken,Dairy,26-10-2023,143.7060916,South
25,Bread,Bakery,19-09-2023,141.7339521,Central
26,Fruits,Meat,27-10-2023,426.3148176,South
27,Eggs,Dairy,15-01-2023,348.4803916,East
28,Rice,Produce,18-07-2023,260.9257293,West
29,Bread,Meat,08-02-2023,52.11352771,West
30,Eggs,Bakery,09-03-2023,111.8763138,Central
31,Milk,Bakery,09-05-2023,493.1200605,East
32,Milk,Meat,18-02-2023,91.97510907,North
33,Chicken,Meat,24-11-2023,238.7894951,East
34,Eggs,Bakery,23-04-2023,490.5755643,East
35,Rice,Bakery,30-08-2023,144.1148611,North
36,Chicken,Produce,16-06-2023,292.5372167,West
37,Vegetables,Meat,05-07-2023,269.5211009,West
38,Milk,Grains,09-10-2023,48.19147265,East
39,Rice,Grains,14-11-2023,217.729541,East
40,Fruits,Dairy,19-07-2023,124.5510834,West
41,Eggs,Produce,26-04-2023,420.0152334,North
42,Milk,Grains,11-07-2023,131.6063947,Central
43,Vegetables,Grains,12-12-2023,10.08861403,West
44,Chicken,Produce,07-04-2023,101.4823169,South
45,Fruits,Bakery,02-09-2023,74.27244287,West
46,Bread,Dairy,21-02-2023,192.796268,South
47,Vegetables,Produce,29-06-2023,256.5920324,South
48,Rice,Meat,16-03-2023,145.007194,Central
49,Chicken,Bakery,12-01-2023,499.5742465,East
50,Fruits,Produce,22-12-2023,429.4160728,South
51,Vegetables,Meat,12-05-2023,101.3081808,Central
52,Fruits,Bakery,13-05-2023,300.9684224,East
53,Fruits,Dairy,01-10-2023,56.48598637,Central
54,Bread,Produce,27-12-2023,14.84204408,Central
55,Eggs,Grains,21-12-2023,6.297452027,North
56,Bread,Produce,11-06-2023,498.3022432,Central
57,Vegetables,Grains,02-07-2023,253.8519431,West
58,Vegetables,Grains,08-03-2023,400.2023708,East
59,Bread,Grains,21-12-2023,322.1464662,West
60,Bread,Meat,08-02-2023,208.7150856,East
61,Fruits,Dairy,16-05-2023,15.79328838,South
62,Milk,Produce,29-11-2023,140.7321171,East
63,Vegetables,Bakery,01-03-2023,76.60968653,Central
64,Rice,Dairy,18-04-2023,396.6019496,Central
65,Rice,Bakery,14-08-2023,326.8110044,East
66,Rice,Meat,01-12-2023,369.6059829,West
67,Chicken,Dairy,08-01-2023,462.0993381,South
68,Bread,Meat,30-05-2023,23.34895911,East
69,Vegetables,Dairy,22-05-2023,182.2090276,West
70,Milk,Bakery,08-04-2023,413.528584,South
71,Milk,Bakery,16-12-2023,368.1016057,Central
72,Rice,Grains,08-03-2023,242.2407494,North
73,Bread,Grains,23-10-2023,328.3119644,West
74,Chicken,Bakery,08-02-2023,194.1535017,South
75,Bread,Dairy,08-03-2023,57.83696271,Central
76,Milk,Dairy,16-10-2023,142.8129187,South
77,Bread,Produce,27-11-2023,278.630596,West
78,Bread,Bakery,18-11-2023,328.1726457,East
79,Fruits,Dairy,23-01-2023,339.4289967,Central
80,Vegetables,Grains,29-08-2023,328.0241014,South
81,Chicken,Produce,19-03-2023,171.8036203,East
82,Bread,Produce,28-10-2023,498.1344373,Central
83,Milk,Grains,24-01-2023,175.0367853,Central
84,Rice,Dairy,15-11-2023,417.8288348,North
85,Eggs,Bakery,21-05-2023,476.0596121,North
86,Milk,Bakery,18-10-2023,202.4640128,South
87,Bread,Meat,12-10-2023,87.34361073,West
88,Rice,Dairy,11-09-2023,451.1377718,East
89,Rice,Dairy,20-05-2023,239.6960534,South
90,Eggs,Bakery,07-11-2023,27.27832412,East
91,Vegetables,Dairy,27-01-2023,251.7344666,West
92,Vegetables,Bakery,25-05-2023,228.2305623,South
93,Eggs,Bakery,29-04-2023,110.9573592,West
94,Rice,Bakery,09-07-2023,400.6048684,North
95,Vegetables,Grains,05-03-2023,84.05822681,West
96,Rice,Produce,21-01-2023,119.0363206,South
97,Fruits,Grains,04-12-2023,437.9501807,North
98,Fruits,Bakery,25-12-2023,151.6913814,North
99,Fruits,Meat,02-02-2023,215.1505612,East
100,Eggs,Meat,04-04-2023,66.81375116,West
101,Chicken,Produce,03-03-2023,371.0807434,East
102,Bread,Bakery,26-03-2023,440.3522947,South
103,Chicken,Produce,04-01-2023,175.099318,South
104,Fruits,Dairy,28-10-2023,82.87366359,North
105,Rice,Bakery,22-02-2023,74.12941752,North
106,Fruits,Meat,08-07-2023,492.3873104,West
107,Rice,Grains,24-06-2023,131.285545,West
108,Milk,Grains,07-03-2023,368.2445477,West
109,Milk,Bakery,19-06-2023,321.9794639,East
110,Vegetables,Produce,29-05-2023,295.409613,Central
111,Chicken,Grains,19-12-2023,446.7314333,Central
112,Fruits,Bakery,06-07-2023,214.1308388,West
113,Fruits,Grains,05-10-2023,207.2743342,North
114,Chicken,Produce,24-05-2023,214.5607387,East
115,Chicken,Dairy,20-06-2023,217.4021176,South
116,Chicken,Grains,20-07-2023,14.93079754,West
117,Eggs,Meat,16-06-2023,30.72992351,East
118,Eggs,Produce,26-07-2023,401.6293201,South
119,Chicken,Dairy,11-05-2023,291.838933,Central
120,Eggs,Bakery,16-01-2023,216.214728,South
121,Bread,Grains,23-09-2023,457.9110129,West
122,Eggs,Bakery,18-07-2023,165.5543694,Central
123,Chicken,Bakery,28-10-2023,334.9269886,North
124,Vegetables,Produce,27-05-2023,399.0815324,Central
125,Bread,Produce,20-12-2023,234.5632045,West
126,Eggs,Grains,22-02-2023,182.6730434,North
127,Vegetables,Bakery,04-03-2023,19.23174122,South
128,Vegetables,Grains,26-09-2023,53.2015982,South
129,Chicken,Produce,27-04-2023,443.1128484,East
130,Fruits,Dairy,20-03-2023,197.2203712,Central
131,Milk,Meat,08-05-2023,459.2120332,East
132,Bread,Bakery,12-02-2023,333.2763651,North
133,Vegetables,Meat,18-08-2023,490.2404994,Central
134,Fruits,Dairy,30-11-2023,378.3305171,West
135,Fruits,Meat,14-08-2023,5.527591185,Central
136,Milk,Grains,27-01-2023,235.4180009,South
137,Vegetables,Grains,30-12-2023,408.6467799,East
138,Vegetables,Bakery,20-08-2023,143.6349452,East
139,Rice,Meat,29-03-2023,357.6852981,East
140,Vegetables,Produce,31-03-2023,143.3475554,South
141,Chicken,Dairy,18-08-2023,80.86666448,South
142,Milk,Dairy,11-10-2023,19.08873536,North
143,Rice,Meat,03-09-2023,459.8321497,West
